Drive,Ring,Hole,Collar Error,Alignment Error,In-Hole Error,Toe Error
Drive 4,P10A,H4,0.6%,1.2%,1.7%,3.5%
Drive 4,P11,H1,0.6%,1.2%,1.4%,3.3%
Drive 4,P11,H2,0.5%,1.2%,2.0%,3.7%
Drive 4,P11,H3,0.6%,1.2%,1.4%,3.2%
Drive 4,P11,H4,0.6%,1.2%,1.6%,3.4%
Drive 4,P11,H5,0.0%,0.9%,1.5%,2.4%
Drive 4,P11,H6,0.6%,1.2%,1.4%,3.2%
Drive 4,P11,H7,0.6%,1.3%,1.5%,3.4%
Drive 4,P11,H8,0.8%,1.2%,1.7%,3.6%
Drive 4,P11,H9,0.3%,1.2%,1.4%,2.8%
Drive 4,P11,H10,0.2%,1.3%,1.8%,3.3%
Drive 4,P11,H11,0.7%,1.3%,1.8%,3.8%
Drive 4,P11,H12,0.2%,1.3%,1.6%,3.1%
Drive 4,P11,H13,0.6%,1.2%,1.7%,3.4%
Drive 4,P11,H14,0.4%,1.1%,1.7%,3.3%
Drive 4,P11,H15,0.5%,1.4%,1.6%,3.5%
Drive 4,P11A,H7,0.5%,1.2%,1.6%,3.3%
Drive 4,P11A,H6,0.7%,1.0%,1.5%,3.2%
Drive 4,P11A,H5,0.5%,1.1%,1.9%,3.5%
Drive 4,P11A,H1,0.6%,1.2%,1.5%,3.3%
Drive 4,P11A,H2,0.5%,1.0%,1.7%,3.3%
Drive 4,P11A,H3,0.3%,1.1%,2.1%,3.5%
Drive 4,P11A,H4,0.3%,1.3%,1.9%,3.5%
Drive 4,P12,H1,0.3%,1.2%,1.5%,2.9%
Drive 4,P12,H2,0.3%,1.2%,1.5%,3.0%
Drive 4,P12,H3,0.2%,1.0%,1.7%,3.0%
Drive 4,P12,H4,0.4%,1.2%,1.5%,3.1%
Drive 4,P12,H5,1.0%,1.1%,2.1%,4.2%
Drive 4,P12,H6,0.4%,1.2%,1.4%,3.0%
Drive 4,P12,H7,0.6%,1.3%,1.3%,3.2%
Drive 4,P12,H15,0.3%,1.1%,1.4%,2.8%
Drive 4,P12,H14,0.5%,1.3%,1.7%,3.4%
Drive 4,P12,H13,0.5%,1.1%,1.5%,3.1%
Drive 4,P12,H12,0.5%,1.3%,1.5%,3.4%
Drive 4,P12,H11,0.2%,1.1%,1.8%,3.1%
Drive 4,P12,H10,0.3%,1.2%,1.2%,2.7%
Drive 4,P12,H9,0.6%,1.1%,1.7%,3.5%
Drive 4,P12,H8,0.9%,1.3%,1.6%,3.7%
Drive 4,P12A,H7,0.6%,1.2%,1.9%,3.8%
Drive 4,P12A,H6,0.4%,1.3%,1.5%,3.2%
Drive 4,P12A,H5,0.3%,1.3%,1.8%,3.4%
Drive 4,P12A,H1,0.7%,1.4%,1.5%,3.6%
Drive 4,P12A,H2,0.1%,1.3%,1.6%,3.1%
Drive 4,P12A,H3,0.5%,1.3%,1.5%,3.3%
Drive 4,P12A,H4,0.5%,1.2%,2.0%,3.7%
Drive 4,P13,H1,0.7%,1.1%,1.7%,3.5%
Drive 4,P13,H2,0.3%,1.1%,1.7%,3.1%
Drive 4,P13,H3,0.9%,1.1%,1.7%,3.7%
Drive 4,P13,H4,0.4%,1.0%,1.7%,3.1%
Drive 4,P13,H5,-0.1%,1.3%,1.5%,2.7%
Drive 4,P13,H6,0.5%,1.3%,1.7%,3.5%
Drive 4,P13,H7,0.5%,1.2%,1.7%,3.3%
Drive 4,P13,H8,0.8%,1.1%,1.6%,3.5%
Drive 4,P13,H15,0.5%,1.1%,1.3%,2.9%
Drive 4,P13,H14,0.5%,1.0%,1.4%,3.0%
Drive 4,P13,H13,0.6%,1.1%,1.6%,3.3%
Drive 4,P13,H12,0.6%,1.2%,1.5%,3.3%
Drive 4,P13,H9-rev,0.1%,1.3%,1.5%,3.0%
Drive 4,P13,H11,0.5%,1.2%,1.5%,3.2%
Drive 4,P13,H10,0.3%,1.2%,1.4%,2.8%
Drive 4,P13A,H7,1.0%,1.0%,1.9%,3.9%
Drive 4,P13A,H6,0.7%,1.3%,1.5%,3.5%
Drive 4,P13A,H5,0.7%,1.3%,1.6%,3.6%
Drive 4,P13A,H1,0.6%,1.2%,1.5%,3.3%
Drive 4,P13A,H2,0.8%,1.1%,1.4%,3.3%
Drive 4,P13A,H3,0.3%,1.3%,1.7%,3.3%
Drive 4,P13A,H4,0.5%,1.3%,2.0%,3.8%
Drive 4,P14,H1,0.4%,1.2%,1.5%,3.1%
Drive 4,P14,H2,0.6%,1.1%,1.4%,3.2%
Drive 4,P14,H3,0.2%,1.1%,1.6%,2.9%
Drive 4,P14,H4,0.5%,1.3%,1.5%,3.3%
Drive 4,P14,H5,0.6%,1.2%,1.8%,3.7%
Drive 4,P15,H6,0.7%,1.1%,1.7%,3.4%
Drive 4,P15,H7,0.6%,1.2%,1.6%,3.4%
Drive 4,P15,H8,0.7%,1.2%,1.5%,3.3%
Drive 4,P15,H9,0.5%,1.3%,1.6%,3.4%
Drive 4,P15,H10,0.7%,1.2%,1.8%,3.7%
Drive 4,P16,H1,0.2%,1.2%,1.7%,3.0%
Drive 4,P16,H2,0.5%,1.2%,1.4%,3.2%
Drive 4,P16,H3,0.6%,1.1%,1.5%,3.2%
Drive 4,P16,H4,0.7%,1.3%,1.6%,3.6%
Drive 4,P16,H5,0.5%,1.3%,1.6%,3.4%
Drive 4,P16,H6,0.5%,1.2%,1.7%,3.4%
Drive 4,P16,H7,0.4%,1.1%,1.8%,3.4%
Drive 4,P16,H8,0.5%,1.2%,1.6%,3.4%
Drive 4,P16,H9,0.5%,1.3%,1.6%,3.4%
Drive 4,P16,H10,0.5%,1.3%,1.2%,3.1%
Drive 4,P18,H1,1.0%,1.4%,2.1%,4.5%
Drive 4,P18,H2,0.2%,1.2%,1.8%,3.2%
Drive 4,P18,H3,0.6%,1.3%,1.7%,3.5%
Drive 4,P18,H4,0.4%,1.2%,1.3%,2.9%
Drive 4,P18,H5,0.8%,1.1%,1.8%,3.7%
Drive 4,P17,H6,0.3%,1.1%,1.5%,3.0%
Drive 4,P17,H7,0.7%,1.1%,1.4%,3.2%
Drive 4,P17,H8,0.4%,1.1%,1.4%,2.9%
Drive 4,P17,H9,0.8%,1.2%,1.8%,3.8%
Drive 4,P17,H10,0.6%,1.3%,1.9%,3.8%
Drive 4,P18A,H1,0.6%,1.3%,1.6%,3.4%
Drive 4,P18A,H2,0.3%,1.1%,2.0%,3.4%
Drive 4,P18A,H3,0.4%,1.2%,1.6%,3.2%
Drive 4,P18A,H4,0.3%,1.2%,1.6%,3.1%
Drive 4,P19,H1,0.3%,1.2%,1.7%,3.2%
Drive 4,P19,H2,0.3%,1.2%,1.5%,3.0%
Drive 4,P19,H3,0.7%,1.3%,1.7%,3.6%
Drive 4,P19,H4,0.8%,1.3%,1.6%,3.7%
Drive 4,P19,H5,0.4%,1.2%,1.7%,3.3%
Drive 4,P19,H6,0.4%,1.2%,1.5%,3.2%
Drive 4,P19,H7,0.4%,1.1%,1.4%,3.0%
Drive 4,P19,H8,0.7%,1.2%,1.9%,3.8%
Drive 4,P19,H9,0.2%,1.3%,1.6%,3.1%
Drive 4,P19,H10,0.2%,1.3%,1.3%,2.7%
Drive 4,P19,H11,0.6%,1.4%,1.9%,3.9%
Drive 4,P19A,H1,0.3%,1.2%,1.5%,3.1%
Drive 4,P19A,H2,0.2%,1.2%,1.5%,2.9%
Drive 4,P19A,H3,0.5%,1.3%,1.4%,3.2%
Drive 4,P19A,H4,0.3%,1.3%,1.8%,3.4%
Drive 4,L1,H5,0.5%,1.3%,1.7%,3.6%
Drive 4,L1,H6,0.3%,1.2%,1.4%,3.0%
Drive 4,L1,H7,0.6%,1.0%,1.9%,3.5%
Drive 4,R2A,H3,0.3%,1.2%,1.7%,3.1%
Drive 4,R2A,H1,0.6%,1.2%,1.5%,3.2%
Drive 4,L1A,H4,0.7%,1.2%,1.6%,3.6%
Drive 4,L1A,H1,0.3%,1.2%,1.5%,3.1%
Drive 4,L1A,H2,-0.1%,1.1%,1.3%,2.3%
Drive 4,L1A,H3,0.7%,1.1%,1.2%,3.1%
Drive 4,L2,H1,0.2%,1.5%,1.5%,3.2%
Drive 4,L2,H2,0.8%,1.2%,1.4%,3.4%
Drive 4,L2,H3,0.7%,1.2%,1.7%,3.7%
Drive 4,L2,H4,0.3%,1.1%,1.5%,2.9%
Drive 4,L2,H5,0.6%,1.3%,1.4%,3.3%
Drive 4,L2,H6,0.1%,1.2%,1.5%,2.8%
Drive 4,L2,H7,0.6%,1.0%,1.7%,3.2%
Drive 4,R3A,H2,0.7%,1.3%,1.5%,3.5%
Drive 4,R3A,H3,0.6%,1.3%,1.8%,3.8%
Drive 4,R3A,H1,0.5%,1.3%,1.6%,3.4%
Drive 4,L2A,H1,0.5%,1.1%,1.5%,3.2%
Drive 4,L2A,H2,0.3%,1.4%,1.7%,3.5%
Drive 4,L2A,H3,0.7%,1.3%,1.7%,3.6%
Drive 4,L2A,H4,0.2%,1.3%,1.4%,2.8%
Drive 4,L3,H1,0.3%,1.2%,1.4%,2.9%
Drive 4,L3,H2,0.3%,1.0%,1.7%,3.0%
Drive 4,L3,H3,0.1%,1.3%,1.5%,2.8%
Drive 4,L3,H4,0.5%,1.1%,1.8%,3.4%
Drive 4,L3,H5,0.6%,1.1%,1.9%,3.6%
Drive 4,L3,H6,0.8%,1.3%,1.6%,3.7%
Drive 4,L3,H7,0.2%,1.2%,1.6%,3.0%
Drive 4,R3,H16,0.4%,1.1%,1.2%,2.7%
Drive 4,R3,H15,0.3%,1.1%,2.0%,3.4%
Drive 4,R3,H14,0.6%,1.2%,1.5%,3.3%
Drive 4,R3,H13,0.7%,1.2%,1.8%,3.8%
Drive 4,R3,H8,0.6%,1.5%,1.9%,4.0%
Drive 4,R3,H12,0.6%,1.3%,1.4%,3.4%
Drive 4,R3,H11,0.4%,1.2%,1.9%,3.5%
Drive 4,R3,H10,0.4%,1.2%,1.5%,3.1%
Drive 4,R3,H9,0.8%,1.3%,2.0%,4.0%
Drive 4,R4A,H1,0.1%,1.2%,1.5%,2.7%
Drive 4,R4,H14,0.3%,1.2%,1.8%,3.3%
Drive 4,R4,H13,0.6%,1.3%,1.5%,3.5%
Drive 4,R4,H12,0.6%,1.1%,1.7%,3.5%
Drive 4,R4,H11,0.2%,1.3%,1.6%,3.1%
Drive 4,R4,H10,0.7%,1.2%,1.6%,3.5%
Drive 4,R4,H9,0.8%,1.1%,1.3%,3.1%
Drive 4,R4,H8,0.2%,1.5%,1.6%,3.3%
Drive 4,L4,H7,0.5%,1.0%,1.3%,2.7%
Drive 4,L4,H6,0.6%,1.0%,1.5%,3.1%
Drive 4,L4,H5-rev,0.4%,1.2%,1.6%,3.1%
Drive 4,L4,H1,0.6%,1.2%,1.7%,3.5%
Drive 4,L4,H2,0.7%,1.3%,1.7%,3.7%
Drive 4,L4,H3,0.4%,1.0%,1.3%,2.7%
Drive 4,L4,H4,0.5%,1.1%,1.7%,3.3%
Drive 4,L3A,H1,0.5%,1.2%,1.4%,3.1%
Drive 4,L3A,H2,0.4%,1.3%,1.6%,3.4%
Drive 4,R5A,H1,0.3%,1.0%,1.7%,3.0%
Drive 4,R5,H13,0.6%,1.2%,1.5%,3.3%
Drive 4,R5,H11,0.5%,1.1%,1.6%,3.2%
Drive 4,R5,H12,0.7%,1.2%,1.4%,3.3%
Drive 4,R6A,H3,0.6%,1.2%,1.4%,3.1%
Drive 4,R5,H10,0.4%,1.0%,1.8%,3.2%
Drive 4,R5,H9,0.6%,1.2%,1.2%,3.0%
Drive 4,R5,H8,0.4%,1.2%,1.8%,3.4%
Drive 4,R6A,H1,0.5%,1.1%,1.6%,3.3%
Drive 4,R6A,H2,0.5%,1.3%,1.7%,3.5%
Drive 4,R6,H1,0.5%,1.2%,1.7%,3.4%
Drive 4,R6,H2,0.5%,1.2%,1.8%,3.6%
Drive 4,R6,H3,0.3%,1.3%,1.9%,3.5%
Drive 4,R6,H4,0.1%,1.1%,1.8%,3.0%
Drive 4,R6,H5,0.5%,1.3%,1.7%,3.5%
Drive 4,R6,H6,0.5%,1.3%,1.5%,3.3%
Drive 4,R6,H7,0.5%,1.2%,1.5%,3.2%
Drive 4,R6,H8,0.6%,1.4%,1.8%,3.7%
Drive 4,R6,H9,1.0%,1.1%,1.4%,3.5%
Drive 4,R6,H12-rev,0.6%,1.1%,1.3%,3.0%
Drive 4,R6,H11,0.7%,1.2%,1.5%,3.3%
Drive 4,R6,H10-rev,0.8%,1.1%,1.5%,3.4%
Drive 4,R1,H9,0.4%,1.3%,1.7%,3.4%
Drive 4,R1A,H8,0.3%,1.1%,1.3%,2.7%
Drive 4,R1,H8,0.7%,1.2%,1.7%,3.5%
Drive 4,R1,H7,0.4%,1.2%,1.7%,3.2%
Drive 4,R1A,H7,0.3%,1.2%,1.5%,3.0%
Drive 4,R1C,H11,0.4%,1.3%,1.9%,3.6%
Drive 4,R1C,H10,0.9%,1.2%,1.7%,3.8%
Drive 4,R1C,H9,0.3%,1.2%,1.6%,3.1%
Drive 4,R1,H6,0.5%,1.2%,1.5%,3.2%
Drive 4,R1,H5,0.5%,1.3%,1.5%,3.3%
Drive 4,R1A,H6,0.6%,1.4%,1.4%,3.3%
Drive 4,R2,H9,0.3%,1.4%,1.5%,3.2%
Drive 4,R2,H8,0.6%,1.3%,1.5%,3.3%
Drive 4,R1E,H8,0.9%,1.2%,1.2%,3.3%
Drive 4,R2,H7,0.7%,1.2%,1.7%,3.6%
Drive 4,R1E,H7,0.5%,1.1%,1.6%,3.2%
Drive 4,R2,H6,0.5%,1.2%,1.5%,3.2%
Drive 4,R1E,H6,0.6%,1.1%,1.3%,3.0%
Drive 4,R2,H5,0.6%,1.4%,1.7%,3.7%
Drive 4,R1C,H8,0.4%,1.2%,1.6%,3.2%
Drive 4,R1C,H7,0.4%,1.2%,1.6%,3.3%
Drive 4,R1A,H5,0.7%,1.2%,1.7%,3.7%
Drive 4,R1C,H6,0.5%,1.2%,1.9%,3.6%
Drive 4,R1B,H2,0.5%,1.2%,1.9%,3.6%
Drive 4,R1C,H5,0.6%,1.1%,1.5%,3.1%
Drive 4,R1B,H1,0.5%,1.2%,1.3%,2.9%
Drive 4,R1A,H4,0.8%,1.1%,1.7%,3.5%
Drive 4,R1,H4-rev,0.2%,1.0%,2.0%,3.3%
Drive 4,R1A,H3,0.5%,1.2%,1.8%,3.5%
Drive 4,R1,H3,0.7%,1.1%,1.6%,3.4%
Drive 4,R1,H2,0.8%,1.3%,1.6%,3.7%
Drive 4,R1,H1,0.4%,1.2%,1.1%,2.7%
Drive 4,R1A,H2,0.6%,1.2%,1.4%,3.2%
Drive 4,R1A,H1,0.5%,1.2%,1.5%,3.2%
Drive 4,R1E,H5,0.3%,1.0%,1.4%,2.6%
Drive 4,R1D,H2,0.5%,1.1%,1.6%,3.2%
Drive 4,R1C,H4,0.2%,1.1%,1.7%,3.0%
Drive 4,R1C,H3,0.3%,1.1%,2.0%,3.4%
Drive 4,R1C,H2,0.9%,1.1%,1.7%,3.7%
Drive 4,R1C,H1,0.2%,1.2%,1.4%,2.9%
Drive 4,R1E,H2,0.5%,1.1%,1.6%,3.2%
Drive 4,R1D,H1,0.6%,1.2%,1.3%,3.1%
Drive 4,R1E,H1,0.8%,1.1%,1.2%,3.1%
Drive 4,R1E,H4,0.5%,1.2%,1.4%,3.1%
Drive 4,R1E,H3,0.4%,1.0%,1.4%,2.8%
Drive 4,R2,H4,0.5%,1.3%,1.9%,3.7%
Drive 4,R2,H3,0.7%,1.3%,1.4%,3.4%
Drive 4,R2,H2,0.6%,1.2%,1.7%,3.5%
Drive 4,R2,H1,0.4%,1.0%,1.7%,3.1%
Drive 4,R3,H6,0.8%,1.0%,1.6%,3.5%
Drive 4,R3,H5,1.0%,1.1%,1.7%,3.8%
Drive 4,R3,H4,0.5%,1.4%,1.7%,3.6%
Drive 4,R3,H3,0.9%,1.3%,1.5%,3.8%
Drive 4,R3,H2,0.3%,1.2%,1.8%,3.3%
Drive 4,R3,H1,0.4%,1.3%,1.9%,3.5%
Drive 4,R4,H6,0.5%,1.3%,1.7%,3.5%
Drive 4,R4,H5,0.6%,1.1%,1.6%,3.2%
Drive 4,R4,H4,0.2%,1.1%,1.7%,3.0%
Drive 4,R4,H1,0.1%,1.1%,1.8%,3.0%
Drive 4,R4,H3,0.8%,1.2%,1.7%,3.7%
Drive 4,R4,H2,0.4%,1.3%,1.9%,3.6%
Drive 4,R4A,H2,0.8%,1.3%,1.6%,3.6%
Drive 4,R4A,H1,0.4%,1.2%,1.7%,3.3%
Drive 4,R5,H6,1.0%,1.3%,1.4%,3.8%
Drive 4,R5,H5,0.4%,1.2%,1.8%,3.3%
Drive 4,R5,H4,0.7%,1.2%,1.9%,3.8%
Drive 4,R5,H3,0.7%,1.1%,1.6%,3.3%
Drive 4,R5,H1,0.4%,1.2%,1.3%,2.9%
Drive 4,R5,H2,0.7%,1.1%,1.9%,3.7%
Drive 4,R5A,H1,0.9%,1.0%,1.7%,3.6%
Drive 4,R5A,H2,0.6%,1.4%,1.4%,3.4%
Drive 4,R6,H6,0.5%,1.2%,1.8%,3.6%
Drive 4,R6,H5,0.6%,1.4%,1.7%,3.7%
Drive 4,R6,H4,0.6%,1.2%,1.6%,3.4%
Drive 4,R6,H3,0.6%,1.1%,1.6%,3.3%
Drive 4,R6,H2,0.3%,1.1%,1.8%,3.2%
Drive 4,R6,H1,0.9%,1.2%,1.4%,3.6%
Drive 4,R6A,H2,0.2%,1.1%,1.3%,2.6%
Drive 4,R6A,H1,0.3%,1.1%,1.8%,3.2%
Drive 4,R7,H3,0.5%,1.2%,1.8%,3.4%
Drive 4,R7,H6,0.5%,1.3%,1.4%,3.2%
Drive 4,R7,H5,0.4%,1.3%,1.4%,3.0%
Drive 4,R7,H4,0.9%,1.3%,1.8%,4.0%
Drive 4,R7,H2,0.3%,1.2%,1.5%,3.0%
Drive 4,R7,H1,0.3%,1.2%,1.4%,2.9%
Drive 4,R7A,H2,0.3%,1.1%,1.8%,3.1%
Drive 4,R7A,H1,0.4%,1.2%,1.8%,3.4%
Drive 4,R8,H6,0.4%,1.2%,1.4%,3.1%
Drive 4,R8,H5,0.5%,1.3%,1.4%,3.1%
Drive 4,R8,H4,0.6%,1.4%,1.5%,3.4%
Drive 4,R8,H3,0.5%,1.2%,1.9%,3.6%
Drive 4,R8,H2,0.6%,1.0%,1.7%,3.3%
Drive 4,R8,H1,0.5%,1.2%,1.5%,3.2%
Drive 4,R8A,H2,0.5%,1.4%,1.4%,3.3%
Drive 4,R8A,H1,0.6%,1.2%,1.5%,3.3%
Drive 4,R9,H6,0.4%,1.2%,2.0%,3.6%
Drive 4,R9,H5,0.4%,1.1%,1.8%,3.3%
Drive 4,R9,H4,0.2%,1.2%,1.6%,3.0%
Drive 4,R9,H3,0.9%,1.2%,2.0%,4.1%
Drive 4,R9,H2,0.2%,1.1%,1.3%,2.7%
Drive 4,R9,H1,0.7%,1.3%,1.6%,3.7%
Drive 4,R9A,H1,0.5%,1.4%,1.9%,3.8%
Drive 4,R9A,H2,0.5%,1.2%,1.7%,3.4%
Drive 4,R10,H6,0.5%,1.2%,2.0%,3.7%
Drive 4,R10,H5,0.7%,1.0%,1.6%,3.2%
Drive 4,R10,H4,0.4%,1.2%,1.7%,3.2%
Drive 4,R10,H3,0.6%,1.1%,1.6%,3.3%
Drive 4,R10,H2,0.5%,0.9%,1.6%,3.1%
Drive 4,R10,H1,0.6%,1.2%,2.0%,3.7%
Drive 4,R11,H7,0.4%,1.2%,1.8%,3.3%
Drive 4,R11,H6,0.5%,1.1%,1.5%,3.2%
Drive 4,R11,H5,0.7%,1.3%,1.4%,3.4%
Drive 4,R11,H4,0.5%,1.2%,1.8%,3.5%
Drive 4,R11,H3,0.7%,1.4%,1.7%,3.8%
Drive 4,R11,H2,0.4%,1.3%,1.3%,2.9%
Drive 4,R11,H1,0.3%,1.3%,1.5%,3.1%
Drive 4,R12,H7,0.1%,1.2%,1.8%,3.1%
Drive 4,R12,H6,0.2%,1.3%,1.8%,3.2%
Drive 4,R12,H5,0.2%,1.3%,1.7%,3.2%
Drive 4,R12,H4,0.6%,1.2%,1.8%,3.6%
Drive 4,R12,H3,0.4%,1.2%,1.5%,3.2%
Drive 4,R12,H2,0.5%,1.2%,1.4%,3.2%
Drive 4,R12,H1,0.3%,1.2%,1.2%,2.8%
Drive 4,R13,H3,1.0%,1.1%,1.6%,3.8%
Drive 4,R13,H7,0.1%,1.1%,1.5%,2.7%
Drive 4,R13,H6,0.4%,1.2%,1.3%,2.9%
Drive 4,R13,H5,0.6%,1.3%,1.6%,3.5%
Drive 4,R13,H4,0.5%,1.2%,1.6%,3.3%
Drive 4,R13,H2,0.8%,1.2%,1.7%,3.7%
Drive 4,R13,H1,0.9%,1.3%,1.6%,3.8%
Drive 4,L1,H1,0.8%,1.5%,1.5%,3.7%
Drive 4,L1,H2-rev,0.4%,1.3%,2.0%,3.6%
Drive 4,L1,H3-rev,0.4%,1.1%,1.4%,3.0%
Drive 4,L1,H4-rev,0.6%,1.2%,1.5%,3.3%
Drive 4,L1A,H1,0.3%,1.1%,1.6%,3.0%
Drive 4,L1A,H2-rev,0.7%,1.3%,1.4%,3.5%
Drive 4,L1A,H3-rev,1.0%,1.1%,1.6%,3.7%
Drive 4,L1C,H1-rev,0.5%,1.3%,1.6%,3.4%
Drive 4,L1C,H2-rev,0.5%,1.2%,1.6%,3.3%
Drive 4,L1C,H3-rev,0.7%,1.1%,1.7%,3.5%
Drive 4,L1C,H4-rev,0.6%,1.4%,1.5%,3.5%
Drive 4,L1E,H1-rev,0.2%,1.2%,1.9%,3.3%
Drive 4,L1E,H2-rev,0.3%,1.2%,1.2%,2.7%
Drive 4,L1E,H3-rev,0.1%,1.2%,1.5%,2.7%
Drive 4,L2,H1,0.5%,1.1%,1.8%,3.4%
Drive 4,L2,H2-rev,0.3%,1.2%,1.6%,3.2%
Drive 4,L2,H3-rev,0.4%,1.2%,1.7%,3.3%
Drive 4,L2,H4-rev,0.5%,1.3%,1.5%,3.2%
Drive 4,L1,H5,0.4%,1.3%,1.7%,3.4%
Drive 4,L1A,H4,0.1%,0.9%,1.7%,2.7%
Drive 4,L3,H1,0.4%,1.0%,1.7%,3.1%
Drive 4,L3,H2,0.9%,1.1%,1.9%,3.8%
Drive 4,L3,H3,0.7%,1.2%,1.5%,3.5%
Drive 4,L3,H4,0.5%,1.1%,1.7%,3.2%
Drive 4,L3,H5,0.5%,1.3%,1.7%,3.5%
Drive 4,L3,H6,0.4%,1.2%,1.8%,3.3%
Drive 4,L4,H1,0.9%,1.4%,1.8%,4.1%
Drive 4,L4,H2,0.9%,1.1%,1.4%,3.4%
Drive 4,L4,H3,0.5%,1.2%,1.6%,3.3%
Drive 4,L4,H4,0.4%,1.4%,1.7%,3.4%
Drive 4,L4,H5,0.6%,1.4%,1.5%,3.5%
Drive 4,L4,H6,0.6%,1.2%,1.5%,3.3%
Drive 4,L4,H7,0.5%,1.1%,1.2%,2.7%
Drive 4,L4A,H1,0.4%,1.2%,1.9%,3.5%
Drive 4,L4A,H2,0.4%,1.0%,1.7%,3.1%
Drive 4,R1,H1,0.4%,1.2%,1.8%,3.4%
Drive 4,R2,H1,0.4%,1.2%,1.7%,3.2%
Drive 4,R2,H2,0.5%,1.1%,1.4%,3.0%
Drive 4,L1A,H5,0.8%,1.1%,2.0%,3.8%
Drive 4,L1B,H1,0.5%,1.3%,1.4%,3.1%
Drive 4,L1B,H2,0.5%,1.0%,1.1%,2.6%
Drive 4,L1C,H7,0.4%,1.2%,1.5%,3.1%
Drive 4,L1C,H5,0.6%,1.2%,1.6%,3.4%
Drive 4,L1C,H6,0.6%,1.1%,1.5%,3.2%
Drive 4,L1C,H8-rev,0.5%,1.2%,1.7%,3.4%
Drive 4,L1C,H9,0.5%,1.3%,1.0%,2.9%
Drive 4,L1C,H10,0.7%,1.1%,1.9%,3.7%
Drive 4,L1A,H6-rev,0.5%,1.2%,1.7%,3.4%
Drive 4,L1A,H7,0.5%,1.2%,1.8%,3.5%
Drive 4,L1A,H8,0.3%,1.3%,1.9%,3.6%
Drive 4,L1,H6,0.5%,1.2%,1.5%,3.2%
Drive 4,L1,H7,0.6%,1.3%,1.7%,3.5%
Drive 4,L1,H8,0.3%,1.3%,1.5%,3.0%
Drive 4,L1E,H4,0.3%,1.3%,1.8%,3.4%
Drive 4,L2,H5,1.0%,1.2%,1.6%,3.8%
Drive 4,L2,H6,0.5%,1.3%,1.6%,3.4%
Drive 4,L2,H7,0.4%,1.2%,1.6%,3.2%
Drive 4,L2,H8,0.5%,1.1%,1.7%,3.3%
Drive 4,L1E,H6,0.4%,1.3%,1.7%,3.4%
Drive 4,L1E,H7,0.6%,1.3%,1.8%,3.7%
Drive 4,L1E,H8,0.7%,1.2%,1.3%,3.2%
Drive 4,L1D,H1,0.7%,1.2%,1.5%,3.3%
Drive 5,L1D,H2,0.6%,1.4%,1.9%,3.9%
Drive 5,L1E,H5,0.3%,1.2%,1.9%,3.4%
Drive 5,L5,H1,0.9%,1.2%,1.7%,3.8%
Drive 5,L5,H2,1.0%,1.3%,1.7%,3.9%
Drive 5,L5,H3,0.6%,1.2%,1.7%,3.5%
