Drive,Ring,Hole,Collar Error,Alignment Error,In-Hole Error,Toe Error
Drive 5,L5,H4,0.4%,1.2%,1.7%,3.3%
Drive 5,L5,H5,0.6%,1.1%,1.4%,3.2%
Drive 5,L5,H6,0.3%,1.3%,1.1%,2.7%
Drive 5,L5A,H1,0.7%,1.2%,1.4%,3.3%
Drive 5,L5A,H2,0.7%,1.2%,1.4%,3.3%
Drive 5,L6,H1,1.0%,1.3%,1.4%,3.7%
Drive 5,L6,H2,0.6%,1.2%,1.7%,3.5%
Drive 5,L6,H3,0.4%,1.4%,1.7%,3.5%
Drive 5,L6,H4,0.8%,1.2%,1.4%,3.4%
Drive 5,L6,H5,0.2%,1.0%,1.6%,2.8%
Drive 5,L6,H6,0.3%,1.2%,1.6%,3.1%
Drive 5,L6,H7,0.5%,1.2%,1.7%,3.4%
Drive 5,L6A,H1,0.7%,1.2%,1.5%,3.4%
Drive 5,L6A,H2,0.2%,1.2%,1.7%,3.2%
Drive 5,L7,H1,0.3%,1.2%,1.1%,2.6%
Drive 5,L7,H2,0.7%,1.1%,1.8%,3.6%
Drive 5,L7,H3,0.4%,1.2%,1.7%,3.2%
Drive 5,L7,H4,0.6%,1.3%,1.6%,3.6%
Drive 5,L7,H6,0.8%,1.3%,1.4%,3.5%
Drive 5,L7,H7,0.8%,1.2%,1.8%,3.8%
Drive 5,L7,H5,0.9%,1.3%,1.8%,4.0%
Drive 5,L7A,H1,0.7%,1.3%,1.7%,3.6%
Drive 5,L7A,H2,0.7%,1.3%,1.6%,3.6%
Drive 5,L7A,H3,0.8%,1.1%,1.9%,3.7%
Drive 5,L8,H1,0.3%,1.2%,1.6%,3.1%
Drive 5,L8,H2,0.5%,1.3%,1.3%,3.0%
Drive 5,L8,H3,0.3%,1.2%,1.7%,3.1%
Drive 5,L8,H4,0.5%,1.2%,1.7%,3.4%
Drive 5,L8,H5,0.5%,1.3%,1.7%,3.6%
Drive 5,L8,H6,0.5%,1.3%,1.7%,3.5%
Drive 5,L8,H7,0.8%,1.3%,1.6%,3.7%
Drive 5,L8A,H1,0.7%,1.2%,1.9%,3.9%
Drive 5,L8A,H2,0.5%,1.0%,1.7%,3.2%
Drive 5,L8A,H3,0.5%,1.2%,1.6%,3.3%
Drive 5,L9,H1,0.8%,1.2%,1.6%,3.6%
Drive 5,L9,H2,0.6%,1.1%,1.8%,3.5%
Drive 5,L9,H3,0.4%,1.2%,1.7%,3.3%
Drive 5,L9,H4,0.3%,1.3%,1.7%,3.3%
Drive 5,L9,H5,0.2%,1.0%,1.6%,2.8%
Drive 5,L9,H6,0.4%,1.3%,1.7%,3.4%
Drive 5,L9,H7,0.7%,1.3%,1.6%,3.6%
Drive 5,L9A,H1,0.1%,1.3%,1.2%,2.6%
Drive 5,L9A,H2,0.5%,1.2%,1.4%,3.1%
Drive 5,L9A,H3,0.6%,1.3%,1.6%,3.5%
Drive 5,L10,H1,0.5%,1.1%,1.8%,3.4%
Drive 5,L10,H2,0.4%,1.3%,1.5%,3.3%
Drive 5,L10,H3,0.5%,1.4%,1.6%,3.5%
Drive 5,L10,H4,0.7%,1.4%,1.7%,3.8%
Drive 5,L10,H5,0.5%,1.2%,1.8%,3.5%
Drive 5,L10,H6,0.5%,1.4%,1.3%,3.2%
Drive 5,L10,H7,0.3%,1.2%,1.5%,2.9%
Drive 5,L11,H1,0.6%,1.3%,1.5%,3.3%
Drive 5,L11,H2,0.5%,1.3%,1.9%,3.7%
Drive 5,L11,H3,0.7%,1.1%,1.6%,3.3%
Drive 5,L11,H6,0.6%,1.3%,1.6%,3.5%
Drive 5,L11,H4,0.8%,1.2%,1.4%,3.4%
Drive 5,L11,H7,0.5%,1.0%,1.3%,2.9%
Drive 5,L11,H8,0.3%,1.2%,1.2%,2.7%
Drive 5,L11,H5,0.4%,1.2%,1.5%,3.1%
Drive 5,L12,H1,0.6%,1.2%,1.3%,3.0%
Drive 5,L12,H2,0.4%,1.2%,1.7%,3.4%
Drive 5,L12,H3,0.7%,1.3%,2.0%,4.0%
Drive 5,L12,H4,0.6%,1.2%,1.8%,3.6%
Drive 5,L12,H5,0.5%,1.4%,1.7%,3.6%
Drive 5,L12,H6,0.6%,1.3%,1.3%,3.2%
Drive 5,L12,H7,0.5%,1.2%,2.3%,3.9%
Drive 5,L12,H8,0.5%,1.2%,1.7%,3.5%
Drive 5,L13,H1,0.6%,1.3%,1.6%,3.4%
Drive 5,L13,H2,0.6%,1.2%,1.8%,3.5%
Drive 5,L13,H3,0.1%,0.9%,1.4%,2.4%
Drive 5,L13,H4,0.6%,1.2%,1.6%,3.5%
Drive 5,L13,H5,0.5%,1.2%,1.7%,3.4%
Drive 5,L13,H6,0.2%,1.2%,1.7%,3.2%
Drive 5,L13,H7,0.2%,1.2%,1.7%,3.1%
Drive 5,L13,H8,0.3%,1.2%,1.5%,2.9%
Drive 5,P1,H3,0.7%,1.3%,1.6%,3.7%
Drive 5,P1,H2,0.5%,1.3%,1.8%,3.7%
Drive 5,P1,H1,0.4%,1.2%,1.6%,3.3%
Drive 5,P1,H21,0.6%,1.1%,1.6%,3.2%
Drive 5,P1,H12,1.1%,1.2%,1.5%,3.9%
Drive 5,COS1,H14,0.8%,1.3%,1.8%,3.9%
Drive 5,COS1,H1,0.6%,1.1%,1.2%,2.8%
Drive 5,COS1,H5,0.4%,1.1%,1.8%,3.3%
Drive 5,COS1,H4,0.4%,1.2%,1.7%,3.3%
Drive 5,COS1,H3,0.3%,1.3%,1.5%,3.2%
Drive 5,COS1,H2,0.6%,1.3%,1.8%,3.7%
Drive 5,COS1,H24,1.0%,1.2%,1.8%,4.0%
Drive 5,COS1,H25,0.5%,1.1%,1.4%,3.0%
Drive 5,COS1,H23,0.6%,1.2%,1.5%,3.3%
Drive 5,COS3,H24,0.6%,1.2%,1.8%,3.6%
Drive 5,COS3,H23,0.2%,1.1%,1.4%,2.7%
Drive 5,COS3,H22,1.0%,1.4%,1.8%,4.2%
Drive 5,COS6,H22,0.5%,1.3%,1.5%,3.4%
Drive 5,COS6,H21,0.5%,1.3%,1.4%,3.2%
Drive 5,COS6,H1,0.6%,1.4%,1.7%,3.7%
Drive 5,COS6,H2,0.7%,1.1%,1.8%,3.6%
Drive 5,COS6,H3,0.5%,1.1%,1.7%,3.4%
Drive 5,COS6,H4,0.4%,1.3%,1.6%,3.3%
Drive 5,COS6,H5,0.7%,1.2%,1.5%,3.3%
Drive 5,COS3,H5,0.5%,1.2%,1.6%,3.3%
Drive 5,COS3,H4,0.9%,1.2%,1.3%,3.4%
Drive 5,COS3,H3,1.1%,1.3%,2.1%,4.4%
Drive 5,COS3,H2,0.2%,1.0%,1.8%,3.0%
Drive 5,COS3,H1,0.7%,1.3%,1.4%,3.4%
Drive 5,P1,H15,0.7%,1.3%,1.5%,3.4%
Drive 5,COS1,H13,0.5%,1.3%,1.7%,3.5%
Drive 5,COS1,H12,0.8%,1.2%,1.2%,3.2%
Drive 5,COS1,H11,0.5%,1.1%,2.2%,3.8%
Drive 5,COS1,H10,0.5%,1.0%,1.5%,3.0%
Drive 5,P1,H14,0.2%,1.2%,1.5%,3.0%
Drive 5,P1,H16,0.5%,1.3%,1.6%,3.4%
Drive 5,P1,H13,0.6%,1.2%,1.5%,3.3%
Drive 5,P1,H11,0.4%,1.1%,1.5%,3.0%
Drive 5,P1,H17,0.4%,1.1%,1.7%,3.2%
Drive 5,P1,H18,0.5%,1.5%,1.2%,3.2%
Drive 5,P1,H19,0.5%,1.4%,1.5%,3.4%
Drive 5,P1,H9,0.3%,1.1%,1.6%,3.0%
Drive 5,P1,H8,0.0%,1.1%,1.2%,2.4%
Drive 5,P1,H10,1.1%,1.2%,1.5%,3.8%
Drive 5,P1,H7,0.3%,1.2%,1.9%,3.4%
Drive 5,P1,H6,0.4%,1.2%,1.5%,3.1%
Drive 5,P1,H5,0.8%,1.3%,1.7%,3.8%
Drive 5,P1,H4,0.6%,1.3%,1.5%,3.4%
Drive 5,P1,H20,0.4%,1.3%,1.4%,3.2%
Drive 5,COS1,H15,0.6%,1.1%,1.7%,3.4%
Drive 5,COS1,H16,0.4%,1.3%,1.6%,3.3%
Drive 5,COS1,H17,0.4%,1.3%,1.5%,3.2%
Drive 5,COS1,H18,0.6%,1.1%,1.3%,3.0%
Drive 5,COS1,H19,0.2%,1.2%,1.3%,2.7%
Drive 5,COS1,H21,0.1%,1.1%,1.3%,2.5%
Drive 5,COS1,H22,0.4%,1.1%,1.3%,2.8%
Drive 5,COS1,H9,0.6%,1.0%,1.4%,3.1%
Drive 5,COS1,H8,0.5%,1.3%,1.4%,3.1%
Drive 5,COS1,H7,1.1%,1.1%,1.5%,3.7%
Drive 5,COS1,H6,0.5%,1.3%,1.6%,3.3%
Drive 5,COS2,H2,0.4%,1.0%,2.0%,3.3%
Drive 5,COS2,H1,0.4%,1.1%,1.3%,2.9%
Drive 5,COS2,H3,0.6%,1.2%,1.3%,3.1%
Drive 5,COS3,H12,0.5%,1.1%,2.1%,3.8%
Drive 5,COS3,H11,0.5%,1.1%,1.4%,2.9%
Drive 5,COS3,H10,0.5%,1.2%,1.6%,3.2%
Drive 5,COS3,H9,0.9%,1.1%,1.3%,3.3%
Drive 5,COS3,H8,0.7%,1.1%,1.8%,3.5%
Drive 5,COS3,H7,0.7%,0.8%,1.7%,3.3%
Drive 5,COS3,H6,0.7%,1.2%,1.6%,3.5%
Drive 5,COS3,H13,0.2%,1.2%,1.7%,3.1%
Drive 5,COS3,H14,0.5%,1.2%,1.5%,3.1%
Drive 5,COS3,H15,0.2%,1.1%,1.7%,3.1%
Drive 5,COS3,H16,0.1%,1.1%,1.9%,3.1%
Drive 5,COS3,H17,0.6%,1.2%,1.6%,3.4%
Drive 5,COS3,H18,0.7%,1.3%,1.4%,3.4%
Drive 5,COS3,H19,0.4%,1.1%,1.3%,2.8%
Drive 5,COS3,H20,0.4%,1.0%,1.7%,3.1%
Drive 5,COS3,H21,0.5%,1.2%,1.9%,3.5%
Drive 5,COS4,H1,0.8%,1.1%,1.7%,3.7%
Drive 5,COS4,H2,0.5%,1.1%,1.5%,3.0%
Drive 5,COS4,H4,0.1%,1.1%,1.9%,3.0%
Drive 5,COS4,H5,0.9%,1.1%,1.6%,3.7%
Drive 5,COS5,H2,0.8%,1.2%,1.7%,3.6%
Drive 5,COS5,H1,0.9%,1.3%,1.9%,4.1%
Drive 5,COS4,H3,0.5%,1.2%,1.4%,3.1%
Drive 5,COS7,H2,0.1%,1.2%,1.5%,2.9%
Drive 5,COS7,H1,0.3%,1.2%,1.5%,3.1%
Drive 5,COS7,H3,0.2%,1.0%,1.7%,2.9%
Drive 5,COS6,H6,0.4%,1.1%,1.6%,3.1%
Drive 5,COS6,H7,0.1%,1.1%,1.5%,2.7%
Drive 5,COS6,H8,0.2%,1.1%,1.5%,2.8%
Drive 5,COS6,H9,0.6%,1.0%,1.5%,3.0%
Drive 5,COS6,H10,0.5%,1.1%,1.5%,3.0%
Drive 5,COS6,H11,0.0%,1.2%,1.6%,2.9%
Drive 5,COS6,H12,0.6%,1.2%,1.7%,3.5%
Drive 5,COS6,H13,0.5%,1.1%,1.3%,2.9%
Drive 5,COS6,H14,0.2%,1.2%,1.7%,3.1%
Drive 5,COS6,H15,0.7%,1.6%,1.5%,3.8%
Drive 5,COS6,H16,0.5%,1.2%,1.7%,3.3%
Drive 5,COS6,H17,0.7%,1.2%,2.0%,3.9%
Drive 5,COS6,H18,0.5%,1.0%,1.4%,3.0%
Drive 5,COS6,H20,0.4%,1.3%,1.6%,3.2%
Drive 5,COS6,H19,0.4%,1.1%,1.4%,3.0%
Drive 5,COS8,H1,0.8%,1.2%,1.6%,3.6%
Drive 5,COS8,H2,0.6%,1.3%,1.5%,3.5%
Drive 5,COS8,H3,0.7%,1.1%,1.5%,3.3%
Drive 5,COS9,H12,0.5%,1.2%,1.9%,3.6%
Drive 5,COS9,H11,0.5%,1.2%,1.6%,3.3%
Drive 5,COS9,H10,0.9%,1.4%,1.9%,4.2%
Drive 5,COS9,H9,0.6%,1.2%,1.6%,3.4%
Drive 5,COS9,H8,0.8%,1.1%,1.8%,3.8%
Drive 5,COS9,H7,0.4%,1.1%,1.6%,3.1%
Drive 5,COS9,H6,0.5%,1.0%,1.5%,3.0%
Drive 5,COS9,H5,0.6%,1.1%,1.5%,3.2%
Drive 5,COS9,H4,0.7%,1.1%,1.7%,3.5%
Drive 5,COS9,H3,0.9%,1.1%,1.5%,3.5%
Drive 5,COS9,H2,0.5%,1.3%,2.2%,4.0%
Drive 5,COS9,H1,0.6%,1.4%,1.7%,3.6%
Drive 5,COS9,H13,0.7%,1.3%,1.8%,3.9%
Drive 5,COS9,H14,0.3%,1.1%,1.6%,3.0%
Drive 5,COS9,H15,0.5%,1.2%,1.5%,3.3%
Drive 5,COS9,H16,0.4%,1.2%,1.4%,3.0%
Drive 5,COS9,H17,0.5%,1.2%,1.3%,3.0%
Drive 5,COS9,H18,0.7%,1.1%,1.4%,3.2%
Drive 5,COS9,H19,0.6%,1.5%,1.7%,3.9%
Drive 5,COS9,H20,0.5%,1.0%,1.5%,3.1%
Drive 5,COS9,H21,0.3%,1.2%,1.4%,2.9%
Drive 5,COS9,H22,0.6%,1.2%,1.5%,3.4%
Drive 5,COS10,H17,0.8%,1.4%,1.6%,3.8%
Drive 5,COS10,H16,0.3%,1.1%,1.8%,3.2%
Drive 5,COS10,H15,0.6%,1.2%,1.4%,3.2%
Drive 5,COS10,H14,0.6%,1.2%,1.4%,3.1%
Drive 5,COS10,H13,0.6%,1.3%,1.6%,3.5%
Drive 5,COS10,H12,0.3%,1.1%,1.9%,3.2%
Drive 5,COS10,H11,0.3%,1.2%,1.7%,3.2%
Drive 5,COS10,H10,0.7%,1.2%,1.7%,3.6%
Drive 5,COS10,H9,0.4%,1.3%,1.6%,3.3%
Drive 5,COS10,H7,0.5%,1.2%,1.2%,2.9%
Drive 5,COS10,H6,0.2%,1.2%,1.5%,2.9%
Drive 5,COS10,H5,0.5%,1.4%,1.7%,3.6%
Drive 5,COS10,H4,0.5%,1.2%,1.8%,3.5%
Drive 5,COS10,H3,0.3%,1.5%,1.4%,3.1%
Drive 5,COS10,H2,0.4%,1.3%,1.8%,3.5%
Drive 5,COS10,H1,0.5%,1.0%,1.3%,2.7%
Drive 5,COS10,H19,0.6%,1.3%,1.6%,3.5%
Drive 5,COS10,H20,0.7%,1.2%,1.3%,3.3%
Drive 5,COS10,H21,0.4%,1.1%,1.6%,3.1%
Drive 5,COS10,H22,0.6%,1.3%,1.7%,3.6%
Drive 5,COS10,H23,0.2%,1.2%,2.0%,3.3%
Drive 5,COS10,H24,0.5%,1.1%,1.9%,3.5%
Drive 5,COS10,H25,0.6%,1.2%,2.0%,3.7%
Drive 5,COS1,H20,0.3%,1.2%,1.6%,3.1%
Drive 5,P2,H14,0.4%,1.2%,1.4%,2.9%
Drive 5,P2,H13,0.3%,1.3%,1.8%,3.4%
Drive 5,P2,H12,0.7%,1.1%,1.7%,3.5%
Drive 5,P2,H11,0.8%,1.3%,1.7%,3.8%
Drive 5,P2,H10,0.4%,1.3%,1.9%,3.7%
Drive 5,P2,H9,0.7%,1.3%,1.4%,3.4%
Drive 5,P2,H8-rev,0.2%,1.1%,2.1%,3.4%
Drive 5,P2,H7,0.4%,1.3%,1.7%,3.4%
Drive 5,P2,H6,0.2%,1.2%,1.5%,2.8%
Drive 5,P2,H5,0.2%,1.1%,1.7%,3.0%
Drive 5,P2,H4,0.5%,1.1%,1.5%,3.2%
Drive 5,P2,H3-rev,0.4%,1.2%,1.6%,3.2%
Drive 5,P2,H2,0.5%,1.1%,1.8%,3.4%
Drive 5,P2,H1,0.4%,1.1%,1.7%,3.2%
Drive 5,P2A,H9,0.9%,1.2%,1.7%,3.9%
Drive 5,P2A,H8,0.3%,1.1%,1.9%,3.3%
Drive 5,P2A,H7,0.7%,1.3%,1.6%,3.7%
Drive 5,P2A,H6,0.5%,1.2%,1.6%,3.4%
Drive 5,P2A,H5,0.4%,1.3%,1.6%,3.3%
Drive 5,P2A,H2,0.6%,1.2%,1.4%,3.1%
Drive 5,P2A,H4,0.8%,1.1%,1.8%,3.8%
Drive 5,P2A,H3,0.4%,1.1%,1.7%,3.1%
Drive 5,P2A,H1,0.8%,1.2%,1.6%,3.6%
Drive 5,P3,H8,0.5%,1.2%,1.5%,3.1%
Drive 5,P3,H11,0.3%,1.3%,1.8%,3.4%
Drive 5,P3,H16,0.6%,1.1%,1.5%,3.1%
Drive 5,P3,H15,0.9%,1.2%,1.6%,3.7%
Drive 5,P3,H14,0.5%,1.1%,1.5%,3.1%
Drive 5,P3,H13,0.5%,1.1%,1.4%,3.0%
Drive 5,P3,H10,0.3%,1.4%,1.8%,3.5%
Drive 5,P3,H9,0.7%,1.4%,1.3%,3.4%
Drive 5,P3,H1,0.7%,1.0%,1.5%,3.2%
Drive 5,P3,H2,0.0%,1.2%,1.4%,2.7%
Drive 5,P3,H12,0.5%,1.1%,1.8%,3.4%
Drive 5,P3,H3,0.4%,1.1%,1.5%,2.9%
Drive 5,P3,H4,0.4%,1.4%,1.5%,3.2%
Drive 5,P3,H5,0.9%,1.2%,1.7%,3.9%
Drive 5,P3,H6,0.6%,1.1%,1.4%,3.1%
Drive 5,P3,H7,0.5%,1.3%,1.6%,3.3%
Drive 5,P4,H1,0.5%,1.2%,1.7%,3.4%
Drive 5,P4,H2,0.4%,1.2%,1.4%,3.1%
Drive 5,P4,H3,0.3%,1.3%,1.4%,2.9%
Drive 5,P4,H4,0.5%,1.3%,1.4%,3.2%
Drive 5,P4,H5,0.5%,1.1%,1.7%,3.3%
Drive 5,P4,H6,0.6%,1.1%,1.7%,3.4%
Drive 5,P4,H7,0.7%,1.2%,1.5%,3.4%
Drive 5,P4,H8,0.6%,1.1%,1.5%,3.2%
Drive 5,P4,H9,-0.2%,1.1%,1.4%,2.3%
Drive 5,P4,H10,0.5%,1.3%,1.5%,3.3%
Drive 5,P4,H16,0.7%,1.2%,1.4%,3.3%
Drive 5,P4,H15,0.4%,1.2%,1.5%,3.2%
Drive 5,P4,H14,0.4%,1.2%,1.6%,3.2%
Drive 5,P4,H13,0.6%,1.3%,1.7%,3.6%
Drive 5,P4,H12,0.8%,1.2%,1.6%,3.7%
Drive 5,P4,H11,0.3%,1.1%,1.2%,2.6%
Drive 5,P5,H12,0.3%,1.2%,1.8%,3.3%
Drive 5,P5,H16,0.3%,1.2%,1.5%,2.9%
Drive 5,P5,H15,0.4%,1.2%,1.5%,3.2%
Drive 5,P5,H14,0.8%,1.2%,1.3%,3.2%
Drive 5,P5,H13,0.5%,1.2%,1.5%,3.2%
Drive 5,P5,H10,0.6%,1.1%,1.6%,3.3%
Drive 5,P5,H9,0.9%,1.0%,1.9%,3.8%
Drive 5,P5,H8,0.4%,1.1%,1.3%,2.8%
Drive 5,P5,H7,0.5%,1.2%,1.6%,3.3%
Drive 5,P5,H11,0.4%,1.2%,1.6%,3.2%
Drive 5,P5,H1,0.5%,1.5%,1.8%,3.8%
Drive 5,P5,H2,0.6%,1.2%,1.4%,3.2%
Drive 5,P5,H3,0.6%,1.1%,1.4%,3.0%
Drive 5,P5,H3-rev,0.4%,1.3%,1.6%,3.3%
Drive 5,P5,H4,0.7%,1.2%,1.6%,3.5%
Drive 5,P5,H5,0.3%,1.0%,1.4%,2.6%
Drive 5,P5,H6,0.5%,1.1%,1.6%,3.2%
Drive 5,T1,H1,0.7%,1.4%,1.5%,3.5%
Drive 5,T1,H4,0.4%,1.4%,2.1%,3.9%
Drive 5,T1,H2,0.4%,1.4%,1.0%,2.8%
Drive 5,T1,H3,0.4%,1.3%,1.6%,3.4%
Drive 5,T1,H5,0.4%,1.2%,1.9%,3.5%
Drive 5,T1,H6,0.4%,1.2%,1.7%,3.3%
Drive 5,T1,H7,0.3%,1.2%,1.8%,3.4%
Drive 5,T1,H8,0.6%,1.2%,1.5%,3.3%
Drive 5,T1,H9,0.4%,1.3%,1.7%,3.3%
Drive 5,T1,H16,0.4%,1.3%,1.6%,3.3%
Drive 5,T1,H12,0.4%,1.1%,1.0%,2.5%
Drive 5,T1,H10,0.6%,1.3%,1.2%,3.1%
Drive 5,T1,H11,0.3%,1.1%,1.4%,2.8%
Drive 5,T1,H13,0.5%,1.1%,1.6%,3.2%
Drive 5,T1,H14,0.9%,1.2%,1.5%,3.5%
Drive 5,T1,H15,0.3%,1.3%,1.6%,3.1%
Drive 5,T2,H1,0.2%,1.2%,1.6%,3.0%
Drive 5,T2,H2,0.5%,1.2%,1.6%,3.4%
Drive 5,T2,H3,0.2%,1.2%,1.7%,3.1%
Drive 5,T2,H4,0.4%,1.3%,1.3%,3.0%
Drive 5,T2,H5,0.3%,1.3%,1.5%,3.0%
Drive 5,T2,H6,0.7%,1.2%,1.8%,3.7%
Drive 5,T2,H7,0.5%,1.4%,1.8%,3.7%
Drive 5,T2,H8,0.5%,1.3%,1.4%,3.1%
Drive 5,T2,H9,0.6%,1.1%,1.6%,3.3%
Drive 5,T2,H10,0.8%,1.1%,1.5%,3.4%
Drive 5,T2,H11,0.5%,1.3%,1.5%,3.4%
Drive 5,T2,H12,0.4%,1.4%,1.6%,3.4%
Drive 5,T2,H13,0.4%,1.3%,1.6%,3.3%
Drive 5,T2,H16,0.4%,1.3%,1.8%,3.5%
Drive 5,T2,H14,0.5%,1.1%,1.4%,3.0%
Drive 5,T2,H15,0.6%,1.3%,1.7%,3.5%
Drive 5,T3,H1,0.2%,1.1%,1.4%,2.7%
Drive 5,T3,H2,0.5%,1.2%,1.8%,3.5%
Drive 5,T3,H3,0.6%,1.2%,1.2%,3.0%
Drive 5,T3,H4,0.4%,1.1%,1.6%,3.1%
Drive 5,T3,H5,0.3%,1.2%,1.6%,3.2%
Drive 5,T3,H6,0.5%,1.2%,2.0%,3.7%
Drive 5,T3,H7,0.7%,1.0%,1.3%,3.1%
Drive 5,T3,H8,0.6%,1.3%,1.8%,3.7%
Drive 5,T3,H9,0.5%,1.3%,1.5%,3.3%
Drive 5,T3,H10,0.1%,1.2%,1.3%,2.7%
Drive 5,T3,H11,0.1%,1.0%,1.8%,2.9%
Drive 5,T3,H12,0.4%,1.2%,1.6%,3.2%
Drive 5,T3,H13,0.6%,1.3%,1.9%,3.8%
Drive 5,T3,H14,0.1%,1.3%,1.4%,2.8%
Drive 5,T3,H15,0.4%,1.2%,1.7%,3.3%
Drive 5,T3,H16,0.5%,1.2%,1.5%,3.2%
Drive 5,T4,H1,0.5%,1.0%,1.6%,3.1%
Drive 5,T4,H2,0.4%,1.3%,1.7%,3.4%
Drive 5,T4,H3,0.5%,1.2%,1.9%,3.6%
Drive 5,T4,H4,0.7%,1.1%,1.6%,3.3%
Drive 5,T4,H5,0.7%,1.1%,1.6%,3.4%
Drive 5,T4,H6,0.5%,1.1%,1.2%,2.8%
Drive 5,T4,H7,0.3%,1.2%,1.4%,2.9%
Drive 5,T4,H8,0.5%,1.2%,1.7%,3.5%
Drive 5,T4,H9,0.5%,1.3%,1.6%,3.4%
Drive 5,T4,H10,0.7%,1.3%,1.9%,3.9%
Drive 5,T4,H11,0.6%,1.2%,1.1%,2.9%
Drive 5,T4,H12,0.6%,1.2%,1.7%,3.5%
Drive 5,T4,H13,0.4%,1.0%,1.5%,3.0%
Drive 5,T4,H14,0.3%,1.0%,1.5%,2.8%
Drive 5,T4,H15,0.6%,1.1%,1.8%,3.4%
Drive 5,T4,H16,0.7%,1.2%,1.4%,3.3%
Drive 5,L1,H1,0.6%,1.1%,1.7%,3.4%
Drive 5,L1,H2,0.4%,1.1%,1.9%,3.4%
Drive 5,L1,H3,0.2%,1.1%,1.3%,2.7%
Drive 5,L1,H4,0.6%,1.2%,1.4%,3.2%
Drive 5,L1A,H1,0.2%,1.1%,1.4%,2.7%
Drive 5,L1A,H3,0.7%,1.2%,1.9%,3.8%
Drive 5,R4,H1,0.4%,1.3%,1.9%,3.7%
Drive 5,R2,H3,0.3%,1.2%,1.4%,2.9%
Drive 5,R2,H1,0.9%,1.3%,1.3%,3.5%
Drive 5,R2,H2,0.5%,1.3%,1.5%,3.3%
Drive 5,R1,H1,0.6%,1.3%,1.8%,3.7%
Drive 5,R3,H1,0.3%,1.2%,1.9%,3.3%
Drive 5,L1A,H2,0.5%,1.1%,2.1%,3.7%
Drive 5,L1B,H1,0.4%,1.2%,1.6%,3.2%
Drive 5,L1B,H2,0.5%,1.1%,1.8%,3.5%
Drive 5,L1C,H5,0.9%,1.1%,1.6%,3.6%
Drive 5,L1C,H1,0.4%,1.5%,1.5%,3.3%
Drive 5,L1C,H2,0.3%,1.2%,1.5%,3.0%
Drive 5,L1C,H4,0.4%,1.3%,1.3%,2.9%
Drive 5,L1C,H3,0.4%,1.2%,1.3%,2.8%
Drive 5,L1D,H1-rev,1.0%,1.1%,1.4%,3.6%
Drive 5,L1D,H2,0.3%,1.3%,1.8%,3.4%
Drive 5,L1E,H1-rev,0.1%,1.3%,1.6%,2.9%
Drive 5,L1E,H2,0.7%,1.1%,1.4%,3.2%
Drive 5,L1E,H3,0.5%,1.2%,1.7%,3.5%